,ONS SOC,ONS Title,Display,Exposure,Proximity,RIF,Employment (tot),Employment (m),Employment (f),Median weekly pay,Mean weekly pay,Median weekly pay (m),Mean weekly pay (m),Median weekly pay (f),Mean weekly pay (f),Female percent
117,4123,Bank and post office clerks,0,17,82,59.21570737566174,99500,26300,73200,421.2,410.3,422.3,525.3,420.8,470.6,0.7356783920000001
118,4124,Finance officers,0,1,57,40.311288741492746,36600,10600,26000,504.4,546.1,557.3,-1.0,485.8,530.0,0.7103825140000001
119,4134,Transport and distribution clerks andôøωassistants,0,2,52,36.796738985948195,58200,34600,23500,492.6,490.4,508.7,528.9,460.0,489.7,0.403780069
120,4135,Library clerks and assistants,0,34,73,56.94295391003175,24100,4600,19500,388.6,268.7,404.1,413.2,383.3,410.7,0.809128631
121,4138,Human resources administrative occupations,0,14,53,38.76209488662861,30900,4900,26000,410.9,408.7,379.3,400.4,420.1,473.8,0.841423948
122,4211,Medical secretaries,0,53,71,62.64982043070833,65800,3000,62800,439.8,353.8,422.0,434.4,440.0,442.8,0.954407295
123,4212,Legal secretaries,0,0,41,28.991378028648445,38600,-1,36000,411.5,400.9,-1.0,453.0,411.1,456.1,0.932642487
124,4213,School secretaries,0,21,52,39.654760117796705,72200,-1,69900,370.1,317.5,451.9,455.8,367.4,389.1,0.968144044
125,4214,Company secretaries,0,29,43,36.67424164178449,31700,4100,27600,530.9,309.2,-1.0,663.5,526.9,544.4,0.8706624609999999
126,4215,Personal assistants and other secretaries,0,29,43,36.67424164178449,175900,4300,171700,542.1,393.9,578.8,684.7,538.9,570.5,0.976122797
127,4216,Receptionists,0,31,52,42.80770958600798,234400,22900,211500,364.2,282.0,414.3,421.6,360.6,385.9,0.902303754
128,4217,Typists and related keyboard occupations,0,22,47,36.69468626381754,34000,11400,22600,389.9,373.3,419.2,455.9,382.7,440.8,0.664705882
129,5111,Farmers,1,1,24,16.985287751463026,133000,110500,22500,513.1,511.4,527.3,555.3,468.2,472.0,0.169172932
130,5112,Horticultural trades,0,3,48,34.0073521462639,15800,9300,6500,397.7,372.7,388.0,422.7,385.9,412.1,0.411392405
131,5113,Gardeners and landscape gardeners,0,9,76,54.11561696959575,164900,142000,22900,407.1,384.6,405.4,429.9,422.9,435.4,0.138872044
